CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 31.10.2022

<Transmited Data>
<NEW BUTTON 14:19:01>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCAN E[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:29:32>
[^C][CR]
[^C][CR]
DRON[CR]
SCAN E[CR]
[^G][^G][^G][^G]
<PAUSE BUTTON 14:47:59>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:54:49>
[^C][CR]
SCAN E[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 14:19:01>

>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110
>
Reset interface. Wait time for interface: 109CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 110DOFF
OK
>
Command: DOFF Wait time for interface: 109

>
Reset interface. Wait time for interface: 16SCAN E
Z,0,0,0,0,0,2750
F,15809,15771,1031,21,598,4521[CR],2190063734
A,35248,15791,1038,18,608,4561[CR],2190064171
C,32044,1066,1047,20,608,4598[CR],2190064500
F,15808,15757,1055,22,605,4606[CR],2190064937
C,33000,1082,1063,19,608,4628[CR],2190065265
F,15766,16189,1071,21,613,4670[CR],2190065703
C,33260,1084,1079,23,614,4680[CR],2190066140
A,35260,15777,1087,20,616,4688[CR],2190066468
C,34000,1084,1096,22,617,4693[CR],2190066875
F,15761,15949,1104,24,620,4685[CR],2190067234
C,34048,1084,1112,19,615,4718[CR],2190067671
F,15661,15988,1120,21,615,4742[CR],2190068000
A,35272,15654,1128,17,622,4746[CR],2190068437
C,35608,1122,1137,20,594,4738[CR],2190068875
F,15657,17214,1145,22,592,4730[CR],2190069203
C,34384,1128,1153,19,597,4786[CR],2190069640
F,15647,16340,1161,19,586,4826[CR],2190069968
A,35208,15733,1169,21,587,4864[CR],2190070406
C,37288,1124,1177,18,591,4911[CR],2190070734
F,15724,17550,1186,20,597,4945[CR],2190071171
C,37888,1078,1193,22,601,5039[CR],2190071609
F,15779,20978,1201,18,600,5125[CR],2190071937
C,38740,1078,1208,20,597,5185[CR],2190072375
A,35264,15569,1216,16,597,5270[CR],2190072703
C,39204,1114,1224,18,595,5361[CR],2190073140
F,15778,24236,1231,21,594,5444[CR],2190073468
C,42176,1066,1239,18,592,5533[CR],2190073906
F,16058,21778,1247,20,591,5615[CR],2190074343
A,35236,16135,1254,18,592,5689[CR],2190074671
C,46072,1054,1262,19,590,5755[CR],2190075109
F,16169,21224,1270,22,587,5801[CR],2190075437
C,46912,1024,1278,20,582,5796[CR],2190075875
F,16090,23066,1288,31,581,5617[CR],2190076203
A,35216,15766,1297,19,588,5466[CR],2190076640
C,40976,1062,1305,18,591,5495[CR],2190077046
F,17010,25336,1313,19,599,5544[CR],2190077406
C,40068,1030,1320,21,620,5576[CR],2190077843
F,17052,26840,1328,19,592,5612[CR],2190078171
C,41072,998,1336,20,589,5645[CR],2190078609
A,35180,16978,1344,22,590,5687[CR],2190079046
C,41944,994,1352,20,587,5736[CR],2190079375
F,17068,28140,1361,24,585,5735[CR],2190079812
C,42056,818,1370,24,584,5659[CR],2190080140
F,16838,28340,1379,20,583,5672[CR],2190080578
A,35200,16664,1387,20,586,5686[CR],2190080906
C,40540,966,1395,22,585,5697[CR],2190081343
F,16578,29392,1403,19,585,5665[CR],2190081781
C,39976,950,1412,22,585,5612[CR],2190082109
F,16700,29768,1420,24,584,5580[CR],2190082546
A,35156,16560,1428,21,586,5540[CR],2190082875
C,37536,932,1437,22,589,5460[CR],2190083312
F,16426,18442,1447,27,590,5309[CR],2190083640
C,35424,10968,1456,21,585,5128[CR],2190084078
F,16048,18188,1466,22,577,4978[CR],2190084531
C,31416,10186,1475,24,573,4859[CR],2190084875
A,35208,15698,1484,25,576,4773[CR],2190085203
C,27976,878,1493,19,582,4676[CR],2190085640
F,15513,17624,1502,22,577,4588[CR],2190085984
C,24796,926,1512,24,578,4496[CR],2190086421
F,15309,17380,1520,24,578,4411[CR],2190086765
A,35200,15185,1529,21,577,4350[CR],2190087203
C,20520,938,1538,22,603,4304[CR],2190087593
F,15087,16346,1546,24,606,4276[CR],2190087984
C,18748,948,1554,20,608,4247[CR],2190088312
F,15027,17272,1563,21,606,4243[CR],2190088750
A,35160,15095,1571,23,602,4250[CR],2190089187
C,17356,962,1579,20,595,4258[CR],2190089515
F,15158,19618,1587,21,593,4265[CR],2190089953
C,16656,968,1595,19,596,4268[CR],2190090281
F,15252,21686,1604,20,601,4275[CR],2190090718
C,15706,968,1612,21,599,4298[CR],2190091046
A,35216,15938,1620,18,598,4308[CR],2190091484
C,15183,962,1628,20,594,4309[CR],2190091921
F,25472,23098,1636,21,587,4351[CR],2190092250
C,15243,966,1644,19,583,4369[CR],2190092687
F,32660,22414,1652,21,583,4395[CR],2190093015
A,35192,30644,1660,21,587,4420[CR],2190093453
C,15818,970,1668,19,588,4462[CR],2190093781
F,26148,20890,1676,21,587,4482[CR],2190094218
C,16218,980,1684,16,584,4521[CR],2190094656
F,23648,20256,1692,19,580,4574[CR],2190094984
A,35172,22704,1700,21,579,4605[CR],2190095421
C,16908,982,1708,19,577,4626[CR],2190095750
F,22070,19510,1716,20,580,4639[CR],2190096187
C,17140,974,1724,22,585,4656[CR],2190096515
F,21548,18436,1732,20,595,4668[CR],2190096953
C,17146,964,1740,21,589,4673[CR],2190097296
A,35200,21208,1748,22,596,4668[CR],2190097718
C,16930,972,1750,2,545,4553[CR],2190098109
F,21272,15459,1750,1,539,4463[CR],2190098484
C,16083,964,1750,0,536,4439[CR],2190098921
F,21982,15376,1750,0,533,4418[CR],2190099359
A,35144,22570,1750,0,533,4411[CR],2190099687
C,15921,986,1750,0,532,4411[CR],2190100125
F,22836,15451,1750,0,531,4411[CR],2190100453
C,15914,970,1750,0,531,4409[CR],2190100890
F,22850,15485,1750,0,534,4593[CR],2190101218
A,35180,22792,1750,0,533,4927[CR],2190101656
C,15868,972,1750,0,529,4931[CR],2190102093
F,22522,15390,1750,0,515,4845[CR],2190102421
C,15874,952,1750,0,510,4697[CR],2190102859
F,22316,15423,1750,0,505,4695[CR],2190103187
C,15897,964,1750,0,504,4696[CR],2190103625
A,35196,21976,1750,0,532,4595[CR],2190104062
Z,0,0,1750,0,217,2799[CR],2190104390
F,19130,13667,1750,0,271,2477[CR],2190104828
C,13262,974,1750,0,342,2481[CR],2190105156
F,20242,13353,1750,0,0,2475[CR],2190105703
Z,0,0,1750,0,0,2477[CR],2190106140
Z,0,0,1750,0,0,2475[CR],2190106687
Z,0,0,1750,0,0,2475[CR],2190107125
Z,0,0,1750,0,0,2475[CR],2190107671
Z,0,0,1750,0,0,2475[CR],2190108218
Z,0,0,1750,0,0,2475[CR],2190108656
Z,0,0,1750,0,0,2475[CR],2190109203
Z,0,0,1750,0,0,2477[CR],2190109640
Z,0,0,1750,0,0,2477[CR],2190110187
Z,0,0,1750,0,0,2477[CR],2190110625
Z,0,0,1750,0,89,2477[CR],2190111171
Z,0,0,1750,0,244,2474[CR],2190111718
Z,0,0,1750,0,0,2476[CR],2190112156
Z,0,0,1750,0,0,2479[CR],2190112703
Z,0,0,1750,0,0,2475[CR],2190113140
Z,0,0,1750,0,0,2478[CR],2190113687
Z,0,0,1750,0,0,2477[CR],2190114125
Z,0,0,1750,0,0,2476[CR],2190114671
Z,0,0,1750,0,144,2475[CR],2190115218
Z,0,0,1750,0,0,2476[CR],2190115656
Z,0,0,1750,0,79,2475[CR],2190116203
Z,0,0,1750,0,0,2475[CR],2190116640
Z,0,0,1750,0,0,2475[CR],2190117187
Z,0,0,1750,0,0,2475[CR],2190117625
Z,0,0,1750,0,0,2476[CR],2190118171
Z,0,0,1750,0,2,2476[CR],2190118718
Z,0,0,1750,0,207,2476[CR],2190119156
Z,0,0,1750,0,167,2475[CR],2190119593
F,18990,13581,1750,0,0,2477[CR],2190120031
A,35208,18934,1750,0,0,2478[CR],2190120359
C,13609,978,1750,0,0,2478[CR],2190120796
F,18872,13621,1750,0,0,2479[CR],2190121343
Z,0,0,1750,0,265,2449[CR],2190121781
Z,0,0,1750,0,268,2471[CR],2190122000
C,13644,974,1750,0,3,2471[CR],2190122437
Z,0,0,1750,0,0,2472[CR],2190122984
Z,0,0,1750,0,141,2472[CR],2190123421
