CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 20.09.2022

<Transmited Data>
<NEW BUTTON 13:56:24>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCANG[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:00:44>
[^C][CR]
[^C][CR]
DRON[CR]
SCANG[CR]

<PAUSE BUTTON 14:22:41>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:29:45>
[^C][CR]
SCANG[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 13:56:24>

>
Reset interface. Wait time for interface: 94
>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 109DOFF
OK
>
Command: DOFF Wait time for interface: 110

>
Reset interface. Wait time for interface: 109SCANG
Z,0,0,0,0
F,14172,14715,223,20[CR],2422408531
C,12906,356,230,23[CR],2422408968
F,14250,14546,238,19[CR],2422408968
A,62656,53720,240,19[CR],2422409296
C,12904,356,247,21[CR],2422409734
F,14298,14356,255,20[CR],2422410062
C,12932,358,263,20[CR],2422410500
F,14353,14134,271,21[CR],2422410937
C,12914,366,279,17[CR],2422411265
F,14427,13907,287,20[CR],2422411703
C,12907,368,295,21[CR],2422412031
F,14494,13680,303,19[CR],2422412468
C,12878,386,312,21[CR],2422412796
F,14566,13479,320,22[CR],2422413234
A,35904,14614,328,19[CR],2422413671
F,14619,13355,336,21[CR],2422414000
C,12854,404,344,22[CR],2422414437
F,14715,13380,352,20[CR],2422414765
C,12847,426,360,21[CR],2422415203
F,14783,13375,368,22[CR],2422415531
C,12840,406,377,19[CR],2422415968
F,14848,13333,385,22[CR],2422416406
C,12830,424,392,17[CR],2422416734
F,14914,13289,401,20[CR],2422417171
C,12838,412,409,22[CR],2422417500
F,14988,13258,417,19[CR],2422417937
C,12846,424,425,21[CR],2422418265
F,15059,13273,433,22[CR],2422418703
C,12865,412,441,19[CR],2422419140
F,15130,13279,449,21[CR],2422419468
A,35896,15180,457,18[CR],2422419906
F,15191,13283,465,19[CR],2422420234
C,12918,422,473,21[CR],2422420671
F,15280,13289,480,17[CR],2422421000
C,12946,430,489,19[CR],2422421437
F,15344,13317,497,22[CR],2422421875
C,12999,420,505,19[CR],2422422203
F,15429,13308,510,11[CR],2422422640
C,13017,426,517,20[CR],2422422968
F,15511,13307,525,21[CR],2422423406
C,13047,426,533,22[CR],2422423734
F,15589,13414,541,19[CR],2422424171
C,13078,430,549,21[CR],2422424609
F,15649,13421,557,21[CR],2422424937
C,12992,420,566,20[CR],2422425375
F,15703,13471,574,21[CR],2422425703
A,35880,15771,581,18[CR],2422426140
F,15778,13506,590,20[CR],2422426468
C,12936,422,598,22[CR],2422426906
F,15866,13567,606,19[CR],2422427343
C,12934,428,614,21[CR],2422427671
F,15944,13552,622,23[CR],2422428109
C,12952,436,630,19[CR],2422428437
F,16021,13551,639,23[CR],2422428875
C,12989,464,650,34[CR],2422429203
F,16101,13580,659,19[CR],2422429640
C,13069,462,667,19[CR],2422430078
F,16181,13546,675,22[CR],2422430406
C,13040,456,683,18[CR],2422430843
F,16268,13533,691,20[CR],2422431171
C,13009,448,700,22[CR],2422431609
F,16354,13502,708,17[CR],2422431937
A,35820,16404,716,20[CR],2422432375
F,16410,13548,724,22[CR],2422432703
C,12972,440,732,19[CR],2422433140
F,16506,13606,741,20[CR],2422433578
C,12942,440,749,22[CR],2422433906
F,16588,13621,757,18[CR],2422434343
C,12924,440,765,21[CR],2422434671
F,16668,13638,773,23[CR],2422435109
C,12925,446,781,19[CR],2422435546
F,16742,13649,790,21[CR],2422435875
C,12941,438,798,24[CR],2422436312
F,16832,13554,806,19[CR],2422436640
C,12978,446,814,21[CR],2422437078
F,16920,13510,822,23[CR],2422437406
C,12982,446,830,19[CR],2422437843
F,16998,13522,839,21[CR],2422438281
A,35760,17062,847,18[CR],2422438609
F,17070,13597,855,20[CR],2422439046
C,12937,470,863,22[CR],2422439375
F,17176,13619,871,20[CR],2422439812
C,12936,466,879,20[CR],2422440140
F,17262,13627,887,22[CR],2422440578
C,12947,474,896,19[CR],2422440906
F,17358,13605,904,21[CR],2422441343
C,12949,468,912,22[CR],2422441781
F,17454,13588,920,19[CR],2422442109
C,12949,470,928,21[CR],2422442546
F,17548,13551,936,24[CR],2422442875
